client_id,snapshot_id,seq_num,server_timestamp_ms,recv_time_ms,latency_ms,jitter_ms,perceived_position_error,cpu_percent,bandwidth_per_client_kbps
1,44,4,1762092613000,1762092613768,768,0,0.007328587394716502,14.1,39.911641019738234
1,45,5,1762092613000,1762092613770,770,1,0.09157717460599324,50.0,173.78378188395124
1,46,6,1762092613000,1762092613819,819,47,0.043890514560690146,10.5,85.00443702746162
1,47,7,1762092613000,1762092613820,820,48,0.007876632502425419,0.0,186.9733110646237
1,48,8,1762092613000,1762092613871,871,50,0.024647371621120674,12.5,50.156077623847224
1,49,9,1762092613000,1762092613871,871,50,0.0011656013079872408,0.0,76.05550045845334
1,50,10,1762092613000,1762092613922,922,49,0.0008156998981674213,12.2,161.28008358875348
1,51,11,1762092613000,1762092613923,923,49,0.09824165382880068,0.0,26.917847319036447
1,52,12,1762092613000,1762092613973,973,48,0.09123993643782846,20.9,43.591411641746106
1,53,13,1762092613000,1762092613974,974,49,0.07189986067114618,0.0,29.336823172024275
1,54,14,1762092614000,1762092614024,24,49,0.04505250194093074,19.5,83.83400085608797
1,55,15,1762092614000,1762092614025,25,49,0.031782461372216984,0.0,138.1760781771963
1,56,16,1762092614000,1762092614075,75,49,0.01953376490441862,24.4,132.54080840008822
1,57,17,1762092614000,1762092614075,75,49,0.05301192337224227,0.0,120.53599991585081
1,61,18,1762092614000,1762092614126,126,50,0.08264067563528399,12.5,110.79986687851385
2,61,4,1762092614000,1762092614127,127,0,0.027338932207053825,0.0,122.8425512518492
1,62,19,1762092614000,1762092614127,127,49,0.04396043850195022,0.0,109.89340201065492
2,62,5,1762092614000,1762092614128,128,1,0.08341966407986255,0.0,32.23622737012659
1,63,20,1762092614000,1762092614177,177,47,0.012790092640232299,20.0,42.16486154808967
2,63,6,1762092614000,1762092614177,177,47,0.05026084757455124,0.0,36.35694458580711
1,64,21,1762092614000,1762092614178,178,48,0.0013129135432412122,0.0,91.14227590524492
2,64,7,1762092614000,1762092614178,178,48,0.0860084074414667,0.0,155.60829697057886
1,65,22,1762092614000,1762092614228,228,49,0.039640981919608645,7.9,54.95709660849382
2,65,8,1762092614000,1762092614228,228,49,0.020982371656194723,0.0,145.95448285843375
2,66,9,1762092614000,1762092614229,229,50,0.0771285642253174,0.0,70.90650103390504
1,66,23,1762092614000,1762092614229,229,49,0.01180078731379234,0.0,114.36241136787406
1,67,24,1762092614000,1762092614279,279,48,0.0953751729193428,18.6,198.50858279332394
2,67,10,1762092614000,1762092614279,279,50,0.025579924994426885,0.0,31.355617242157933
1,68,25,1762092614000,1762092614280,280,48,0.09015368451485724,0.0,102.11346076974563
2,68,11,1762092614000,1762092614280,280,49,0.016406153151857197,0.0,136.67949586336516
1,69,26,1762092614000,1762092614330,330,49,0.01726762010776679,10.0,47.95276570604661
1,70,27,1762092614000,1762092614330,330,49,0.00141019656569803,0.0,181.06743005210208
2,69,12,1762092614000,1762092614331,331,50,0.007177442239873422,0.0,88.58615844409314
2,70,13,1762092614000,1762092614331,331,50,0.0446223184004141,0.0,175.84649867957228
1,71,28,1762092614000,1762092614381,381,50,0.07135431525544587,14.3,195.10587479091143
2,71,14,1762092614000,1762092614382,382,50,0.03615608770002158,0.0,66.80107615576685
2,72,15,1762092614000,1762092614383,383,50,0.07064835156149195,0.0,57.17214735913781
1,72,29,1762092614000,1762092614383,383,49,0.013883404765200025,0.0,132.25136735153382
2,73,16,1762092614000,1762092614432,432,49,0.010403937377313389,15.0,167.36670225718177
1,73,30,1762092614000,1762092614433,433,48,0.038259774760921184,0.0,187.91498222447015
1,74,31,1762092614000,1762092614434,434,49,0.03474747038279106,0.0,171.49255132759842
2,74,17,1762092614000,1762092614434,434,48,0.08529217768935012,0.0,55.02871370025983
1,75,32,1762092614000,1762092614483,483,49,0.07750444716141028,10.3,191.4646476379828
2,75,18,1762092614000,1762092614484,484,48,0.04691768246884788,100.0,148.77329859996482
1,76,33,1762092614000,1762092614485,485,48,0.07797084642918661,0.0,69.26253293993673
2,76,19,1762092614000,1762092614485,485,49,0.0007031033896775396,0.0,162.93536693256263
1,77,34,1762092614000,1762092614535,535,48,0.07761812618217401,12.8,148.39046166078515
2,77,20,1762092614000,1762092614542,542,55,0.09480929911138791,16.7,127.42765794627722
2,78,21,1762092614000,1762092614543,543,55,0.09282309765304053,0.0,68.63370546764887
1,78,35,1762092614000,1762092614544,544,40,0.06311342174488525,0.0,110.86971241686226
1,79,36,1762092614000,1762092614586,586,33,0.07256671252795392,16.7,191.03039112480369
2,79,22,1762092614000,1762092614586,586,42,0.047488771210560644,0.0,146.56743078507236
2,80,23,1762092614000,1762092614587,587,43,0.06429633683906445,0.0,187.76102729259273
1,80,37,1762092614000,1762092614587,587,40,0.05673590271852137,0.0,93.04231980762547
1,81,38,1762092614000,1762092614636,636,47,0.027369064320988512,15.0,182.58571519547655
2,81,24,1762092614000,1762092614637,637,49,0.027644277686900212,0.0,173.66702378670402
2,82,25,1762092614000,1762092614637,637,49,0.07406715138278536,0.0,186.62733378905773
1,82,39,1762092614000,1762092614637,637,48,0.04533338099367739,0.0,102.93202586141194
1,83,40,1762092614000,1762092614688,688,49,0.09420704167219618,16.3,56.02985966665428
2,83,26,1762092614000,1762092614689,689,52,0.027759303389071,0.0,163.1840335073925
2,84,27,1762092614000,1762092614690,690,51,0.0945423790399637,0.0,90.68613146896038
1,84,41,1762092614000,1762092614691,691,48,0.05738420304533466,0.0,171.6569114163112
1,85,42,1762092614000,1762092614739,739,45,0.025002384712074766,12.8,117.03194797890686
2,85,28,1762092614000,1762092614739,739,48,0.03125836197178392,0.0,165.13822787220514
2,86,29,1762092614000,1762092614740,740,48,0.0587178648706651,0.0,151.8038872287865
1,86,43,1762092614000,1762092614740,740,46,0.027527706109022443,0.0,167.8850499362175
1,87,44,1762092614000,1762092614789,789,48,0.02892999584462106,15.0,120.05432707259092
2,87,30,1762092614000,1762092614790,790,50,0.06076415146078021,0.0,75.60688479477446
2,88,31,1762092614000,1762092614791,791,50,0.06549094086430728,0.0,94.52283819344089
1,88,45,1762092614000,1762092614791,791,48,0.053655109495713005,0.0,174.91794150804742
1,89,46,1762092614000,1762092614841,841,48,0.062120939502697675,10.0,176.90084485783893
1,90,47,1762092614000,1762092614841,841,49,0.07442402986132111,0.0,38.5155607510058
2,89,32,1762092614000,1762092614842,842,50,0.03192822036896498,0.0,92.24858074786917
2,90,33,1762092614000,1762092614842,842,50,0.05019869573512908,0.0,122.18862458657563
1,91,48,1762092614000,1762092614892,892,49,0.004578961354393763,10.5,142.79401194031223
2,91,34,1762092614000,1762092614893,893,50,0.045508543525919924,50.0,71.05230834161733
2,92,35,1762092614000,1762092614898,898,46,0.04555058694098649,0.0,172.33525676635412
1,92,49,1762092614000,1762092614899,899,43,0.03552221611797029,0.0,38.85245096875241
2,93,36,1762092614000,1762092614943,943,39,0.0753282308539781,8.8,80.97988571057233
1,93,50,1762092614000,1762092614944,944,37,0.0005089337079700163,0.0,40.40248182422137
1,94,51,1762092614000,1762092614945,945,43,0.0075375986439350845,100.0,49.72387663882756
2,94,37,1762092614000,1762092614945,945,42,0.058779502984608725,0.0,109.62011120671431
1,95,52,1762092614000,1762092614994,994,48,0.08622888310479293,10.5,193.0533313953721
2,95,38,1762092614000,1762092614995,995,47,0.03544602667452801,0.0,174.64609018703305
1,96,53,1762092614000,1762092614996,996,47,0.0696686876994813,0.0,93.47833861919766
2,96,39,1762092614000,1762092614996,996,47,0.009589487405566244,66.7,102.52962060114915
1,97,54,1762092615000,1762092615045,45,47,0.03672052715814176,17.5,68.92386742893268
2,97,40,1762092615000,1762092615045,45,47,0.09714634455297753,0.0,70.09629989969596
1,98,55,1762092615000,1762092615046,46,47,0.021695990100305,0.0,28.76337063456561
2,98,41,1762092615000,1762092615046,46,48,0.08929914052091886,0.0,119.36520685286118
2,99,42,1762092615000,1762092615095,95,48,0.0987067607990586,15.0,61.96931817005029
1,99,56,1762092615000,1762092615096,96,48,0.08740580868093692,0.0,183.62664165534798
2,100,43,1762092615000,1762092615096,96,48,0.09190343508627069,0.0,131.76960824750876
1,100,57,1762092615000,1762092615096,96,49,0.011116539478538379,0.0,95.64479991995447
1,101,58,1762092615000,1762092615147,147,50,0.0420832085045865,14.3,198.10057373898425
2,101,44,1762092615000,1762092615149,149,52,0.08841999503959605,0.0,91.4010773546591
1,102,59,1762092615000,1762092615153,153,45,0.010354716251444462,66.7,173.25337202949052
2,102,45,1762092615000,1762092615153,153,48,0.016325088302494916,0.0,139.68333420157555
1,103,60,1762092615000,1762092615199,199,40,0.07636364415688349,10.8,145.76058600942753
2,103,46,1762092615000,1762092615201,201,43,0.03950467584856428,0.0,91.16613447577396
1,104,61,1762092615000,1762092615201,201,44,0.049919022321244656,0.0,53.23260450772532
2,104,47,1762092615000,1762092615202,202,45,0.0016125436971005437,0.0,139.9600711310782
1,105,62,1762092615000,1762092615250,250,45,0.06878165850264896,10.8,40.11832336283507
2,105,48,1762092615000,1762092615250,250,46,0.09277975307662413,0.0,46.01696588042478
2,106,49,1762092615000,1762092615251,251,47,0.06144490108373744,0.0,182.2836345954877
1,106,63,1762092615000,1762092615251,251,46,0.025434515764053645,0.0,52.738081099140025
