client_id,snapshot_id,seq_num,server_timestamp_ms,recv_time_ms,latency_ms,jitter_ms,grid,bandwidth_per_client_kbps
1,1,28,1763552905341,1763552905347,6,0,"2,0,0,0",4575.618698441796
1,1,29,1763552905402,1763552905413,11,66,"2,0,0,0",420.5996878835169
1,1,30,1763552905465,1763552905467,1,11,"2,0,0,0",519.6931173624241
1,1,31,1763552905528,1763552905533,5,11,"2,0,0,0",429.8299044519395
1,1,32,1763552905592,1763552905600,8,1,"2,0,0,0",484.77829005204507
1,1,33,1763552905657,1763552905658,0,8,"2,0,0,0",565.2384556631604
1,1,34,1763552905745,1763552905747,2,30,"2,0,0,0",371.77695180652495
1,2,36,1763552905799,1763552905799,0,36,"2,2,0,0",717.3818562236298
1,2,37,1763552905846,1763552905849,2,2,"2,2,0,0",752.8135506439116
1,2,38,1763552905910,1763552905915,5,16,"2,2,0,0",575.3939393939394
1,2,39,1763552905974,1763552905982,7,0,"2,2,0,0",604.3084289443558
1,2,40,1763552906036,1763552906037,0,11,"2,2,0,0",742.2464482205648
1,2,41,1763552906101,1763552906103,2,11,"2,2,0,0",623.6250249995455
1,2,42,1763552906165,1763552906170,4,0,"2,2,0,0",628.1476637466337
1,2,43,1763552906227,1763552906236,9,0,"2,2,0,0",644.882906691153
1,2,44,1763552906290,1763552906292,2,11,"2,2,0,0",777.814906212977
1,3,46,1763552906352,1763552906359,6,11,"2,2,2,0",668.4268893164235
1,3,47,1763552906417,1763552906417,0,8,"2,2,2,0",783.1359574640492
1,3,48,1763552906479,1763552906480,0,4,"2,2,2,0",726.8721418061007
1,3,49,1763552906542,1763552906546,3,3,"2,2,2,0",699.392879707758
1,3,50,1763552906606,1763552906612,6,0,"2,2,2,0",704.5608381802682
1,3,51,1763552906668,1763552906679,10,0,"2,2,2,0",710.3269751879345
1,3,52,1763552906731,1763552906733,1,11,"2,2,2,0",860.2667219986495
1,3,53,1763552906794,1763552906800,5,12,"2,2,2,0",710.9243120532656
1,3,54,1763552906858,1763552906866,8,0,"2,2,2,0",727.2694215026296
1,3,55,1763552906922,1763552906932,9,0,"2,2,2,0",732.8573679680967
1,3,56,1763552906986,1763552906987,1,10,"2,2,2,0",886.0817029291821
1,3,57,1763552907049,1763552907050,0,7,"2,2,2,0",779.4236227071574
1,3,58,1763552907112,1763552907117,4,3,"2,2,2,0",738.4189189995999
1,3,59,1763552907176,1763552907184,7,0,"2,2,2,0",743.875045708614
1,3,60,1763552907238,1763552907241,2,10,"2,2,2,0",880.8343786458013
1,3,61,1763552907333,1763552907334,1,35,"2,2,2,0",543.827372228632
1,3,62,1763552907359,1763552907362,3,64,"2,2,2,0",1819.3700916756247
1,3,63,1763552907413,1763552907417,3,26,"2,2,2,0",932.9861666690911
1,3,64,1763552907474,1763552907483,8,11,"2,2,2,0",783.020811868947
1,4,66,1763552907535,1763552907540,4,9,"2,2,2,2",928.6984957947516
1,4,67,1763552907584,1763552907595,11,2,"2,2,2,2",969.1706848777081
1,4,68,1763552907647,1763552907650,2,0,"2,2,2,2",975.8545454545455
1,4,69,1763552907710,1763552907716,6,11,"2,2,2,2",818.7816758963947
1,4,70,1763552907772,1763552907783,10,0,"2,2,2,2",812.0657616847888
1,4,71,1763552907836,1763552907839,2,11,"2,2,2,2",978.1550840814081
1,4,72,1763552907899,1763552907900,1,5,"2,2,2,2",903.962952338019
1,4,73,1763552907962,1763552907967,5,5,"2,2,2,2",828.5472065338093
1,4,74,1763552908026,1763552908034,8,0,"2,2,2,2",834.0360748960813
1,4,75,1763552908088,1763552908092,4,9,"2,2,2,2",969.8165128123783
1,4,76,1763552908152,1763552908158,5,8,"2,2,2,2",857.827279986303
1,4,77,1763552908216,1763552908224,7,0,"2,2,2,2",863.3860904294809
1,4,78,1763552908278,1763552908280,2,9,"2,2,2,2",1024.082509423552
1,4,79,1763552908342,1763552908346,3,9,"2,2,2,2",874.5719567259613
1,4,80,1763552908404,1763552908413,9,1,"2,2,2,2",866.9786046372787
1,4,81,1763552908468,1763552908469,0,11,"2,2,2,2",1043.8683271606483
1,4,82,1763552908534,1763552908536,1,11,"2,2,2,2",877.9701492537314
1,4,83,1763552908596,1763552908600,4,2,"2,2,2,2",924.8070844797335
1,4,84,1763552908660,1763552908667,7,2,"2,2,2,2",889.0136068637344
1,4,85,1763552908724,1763552908733,9,0,"2,2,2,2",907.9188375584605
1,4,86,1763552908788,1763552908792,3,7,"2,2,2,2",1038.5351377140723
1,4,87,1763552908850,1763552908857,6,7,"2,2,2,2",920.024144112446
1,4,88,1763552908914,1763552908924,10,1,"2,2,2,2",910.407663701686
1,4,89,1763552908978,1763552908979,1,12,"2,2,2,2",1117.167997321708
1,4,90,1763552909040,1763552909046,6,12,"2,2,2,2",921.9076957979231
1,4,91,1763552909104,1763552909113,9,0,"2,2,2,2",927.3974483734426
1,4,92,1763552909168,1763552909179,10,1,"2,2,2,2",947.0503919780115
1,4,93,1763552909233,1763552909234,0,10,"2,2,2,2",1143.108567314353
1,4,94,1763552909300,1763552909301,1,12,"2,2,2,2",943.8665094550827
1,4,95,1763552909376,1763552909378,2,9,"2,2,2,2",826.0875776470115
1,4,96,1763552909422,1763552909429,7,25,"2,2,2,2",1254.441211303618
1,4,97,1763552909486,1763552909489,2,9,"2,2,2,2",1072.3821269645507
1,4,98,1763552909549,1763552909550,1,1,"2,2,2,2",1060.7846383591868
1,4,99,1763552909612,1763552909616,4,4,"2,2,2,2",986.1278420498369
1,4,100,1763552909676,1763552909677,0,4,"2,2,2,2",1072.9180327868853
1,4,101,1763552909740,1763552909743,3,4,"2,2,2,2",997.2287416911493
1,4,102,1763552909802,1763552909809,7,0,"2,2,2,2",1002.7559729160133
1,4,103,1763552909865,1763552909875,9,0,"2,2,2,2",1008.4125290923197
1,4,104,1763552909929,1763552909930,1,10,"2,2,2,2",1216.6697574296488
1,4,105,1763552909991,1763552909996,4,10,"2,2,2,2",1019.5429572321667
1,4,106,1763552910054,1763552910063,8,1,"2,2,2,2",1009.7865233439254
1,4,107,1763552910117,1763552910117,0,13,"2,2,2,2",1259.7037037037037
1,4,108,1763552910179,1763552910184,5,13,"2,2,2,2",1020.7517432419525
1,4,109,1763552910243,1763552910251,8,0,"2,2,2,2",1040.8183653883996
1,4,110,1763552910307,1763552910307,0,9,"2,2,2,2",1214.1628918743754
1,4,111,1763552910368,1763552910374,6,10,"2,2,2,2",1036.7013397339028
1,4,112,1763552910432,1763552910440,7,1,"2,2,2,2",1059.115130107861
1,4,113,1763552910494,1763552910496,2,9,"2,2,2,2",1254.048803482596
1,4,114,1763552910558,1763552910563,5,10,"2,2,2,2",1053.7832460404766
1,4,115,1763552910622,1763552910630,7,0,"2,2,2,2",1059.2396901446289
1,4,116,1763552910686,1763552910696,10,0,"2,2,2,2",1080.8026326155862
1,4,117,1763552910749,1763552910750,0,12,"2,2,2,2",1327.8026739750378
1,4,118,1763552910812,1763552910817,4,12,"2,2,2,2",1075.7833805259804
1,4,119,1763552910876,1763552910883,7,0,"2,2,2,2",1097.5375100564677
1,4,120,1763552910945,1763552910949,3,0,"2,2,2,2",1103.191631210832
1,4,121,1763552911000,1763552911004,4,10,"2,2,2,2",1330.4195104923076
1,4,122,1763552911064,1763552911070,5,10,"2,2,2,2",1114.3435518867352
1,4,123,1763552911126,1763552911184,58,48,"2,2,2,2",648.3480335612563
