client_id,snapshot_id,seq_num,server_timestamp_ms,recv_time_ms,latency_ms,jitter_ms,grid,bandwidth_per_client_kbps
2,1,23,1763552949521,1763552949523,2,0,"2,0,0,0",8500.373785198106
2,1,24,1763552949583,1763552949590,7,66,"2,0,0,0",324.0669567229117
2,1,25,1763552949647,1763552949656,9,1,"2,0,0,0",333.5843498999217
2,1,26,1763552949709,1763552949712,3,9,"2,0,0,0",398.58210487780923
2,1,27,1763552949773,1763552949778,5,10,"2,0,0,0",342.79463080333403
2,1,28,1763552949837,1763552949845,8,1,"2,0,0,0",394.9797689284771
2,1,29,1763552949902,1763552949911,9,0,"2,0,0,0",405.4651761640765
2,1,30,1763552949962,1763552949966,3,11,"2,0,0,0",492.37842861585864
2,2,32,1763552950015,1763552950023,7,2,"2,2,0,0",544.1498973666204
2,2,33,1763552950071,1763552950078,6,1,"2,2,0,0",570.0353272084959
2,2,34,1763552950134,1763552950145,10,11,"2,2,0,0",479.68658700147444
2,2,35,1763552950196,1763552950199,2,11,"2,2,0,0",617.55091045439
2,2,36,1763552950257,1763552950266,8,11,"2,2,0,0",518.6438728153959
2,2,37,1763552950320,1763552950332,11,0,"2,2,0,0",524.2567221530284
2,2,38,1763552950381,1763552950386,4,11,"2,2,0,0",635.915694208573
2,2,39,1763552950445,1763552950447,2,6,"2,2,0,0",596.02844412971
2,2,40,1763552950506,1763552950509,2,0,"2,2,0,0",601.0357941907735
2,2,41,1763552950570,1763552950575,4,4,"2,2,0,0",561.0628559481117
2,3,43,1763552950633,1763552950643,9,1,"2,2,2,0",563.0637917393389
2,3,44,1763552950697,1763552950698,0,12,"2,2,2,0",691.0298053082158
2,3,45,1763552950761,1763552950764,3,10,"2,2,2,0",590.9387573386557
2,3,46,1763552950825,1763552950831,5,0,"2,2,2,0",596.6369499298734
2,3,47,1763552950889,1763552950896,7,0,"2,2,2,0",602.9861158503758
2,3,48,1763552950953,1763552950962,9,0,"2,2,2,0",607.9806551609722
2,3,49,1763552951017,1763552951028,11,0,"2,2,2,0",613.5989999621197
2,3,50,1763552951079,1763552951080,1,13,"2,2,2,0",785.8310417107364
2,3,51,1763552951142,1763552951147,5,14,"2,2,2,0",615.3965555583748
2,3,52,1763552951205,1763552951213,7,1,"2,2,2,0",630.3135355286224
2,4,54,1763552951269,1763552951270,1,8,"2,2,2,2",751.8213985604241
2,4,55,1763552951333,1763552951336,3,9,"2,2,2,2",654.4549388454678
2,4,56,1763552951398,1763552951402,4,0,"2,2,2,2",660.969559495145
2,4,57,1763552951460,1763552951468,7,0,"2,2,2,2",666.0565693541251
2,4,58,1763552951521,1763552951523,1,11,"2,2,2,2",805.9841523238773
2,4,59,1763552951583,1763552951589,5,11,"2,2,2,2",677.2162255528822
2,4,60,1763552951647,1763552951649,2,5,"2,2,2,2",751.0403802533577
2,4,61,1763552951711,1763552951715,4,5,"2,2,2,2",688.3730232684991
2,4,62,1763552951773,1763552951777,4,3,"2,2,2,2",738.2250683825296
2,4,63,1763552951837,1763552951843,5,3,"2,2,2,2",699.969070852007
2,4,64,1763552951901,1763552951909,8,0,"2,2,2,2",705.0695433471712
2,4,65,1763552951965,1763552951982,16,6,"2,2,2,2",642.5161471496771
2,4,66,1763552952022,1763552952026,3,29,"2,2,2,2",1074.3734033945764
2,4,67,1763552952075,1763552952080,5,10,"2,2,2,2",882.18791491442
2,4,68,1763552952139,1763552952146,6,11,"2,2,2,2",727.4214932383802
2,4,69,1763552952202,1763552952212,10,0,"2,2,2,2",732.9719180967215
2,4,70,1763552952265,1763552952267,1,11,"2,2,2,2",886.2609909890253
2,4,71,1763552952329,1763552952331,2,9,"2,2,2,2",767.2635070216357
2,4,72,1763552952393,1763552952397,4,1,"2,2,2,2",749.7219604289841
2,4,73,1763552952457,1763552952464,6,0,"2,2,2,2",744.074407440744
2,4,74,1763552952521,1763552952521,0,9,"2,2,2,2",880.9870929145242
2,4,75,1763552952583,1763552952588,4,9,"2,2,2,2",765.6736502247039
2,4,76,1763552952647,1763552952653,5,0,"2,2,2,2",772.7387851112198
2,4,77,1763552952709,1763552952719,10,0,"2,2,2,2",777.1106686149956
2,4,78,1763552952773,1763552952774,1,11,"2,2,2,2",940.4794829619062
2,4,79,1763552952835,1763552952840,5,11,"2,2,2,2",788.7201025445222
2,4,80,1763552952899,1763552952906,7,0,"2,2,2,2",794.3018268154138
2,4,81,1763552952963,1763552952965,2,6,"2,2,2,2",894.7402317863958
2,4,82,1763552953027,1763552953028,0,3,"2,2,2,2",843.8617628710349
2,4,83,1763552953089,1763552953094,5,3,"2,2,2,2",810.4605247220136
2,4,84,1763552953152,1763552953160,7,0,"2,2,2,2",817.1793242835505
2,4,85,1763552953215,1763552953226,10,0,"2,2,2,2",822.1693610702868
2,4,86,1763552953279,1763552953281,1,11,"2,2,2,2",993.3217331856952
2,4,87,1763552953343,1763552953348,4,11,"2,2,2,2",832.5928303160673
2,4,88,1763552953407,1763552953413,6,0,"2,2,2,2",839.6495091125811
2,4,89,1763552953469,1763552953479,10,0,"2,2,2,2",844.4848484848485
2,4,90,1763552953530,1763552953532,1,12,"2,2,2,2",1058.4881489852633
2,4,91,1763552953593,1763552953599,5,13,"2,2,2,2",842.9172531453419
2,4,92,1763552953656,1763552953666,9,0,"2,2,2,2",860.3179119884484
2,4,93,1763552953719,1763552953723,3,9,"2,2,2,2",1003.8322781700521
2,4,94,1763552953784,1763552953790,5,10,"2,2,2,2",859.2894176782949
2,4,95,1763552953847,1763552953855,7,1,"2,2,2,2",878.7622349412025
2,4,96,1763552953911,1763552953922,11,1,"2,2,2,2",869.867458287027
2,4,97,1763552953973,1763552953978,4,11,"2,2,2,2",1048.5424402377269
2,4,98,1763552954037,1763552954048,10,14,"2,2,2,2",843.5271916378696
2,4,99,1763552954116,1763552954119,3,0,"2,2,2,2",836.8309268012372
2,4,100,1763552954165,1763552954166,0,24,"2,2,2,2",1272.0270644056257
2,4,101,1763552954228,1763552954232,3,19,"2,2,2,2",911.402224868711
2,4,102,1763552954291,1763552954299,8,1,"2,2,2,2",902.8227382440605
2,4,103,1763552954355,1763552954365,10,1,"2,2,2,2",923.0209501864598
2,4,104,1763552954418,1763552954421,3,9,"2,2,2,2",1093.8825365588843
2,4,105,1763552954481,1763552954482,0,5,"2,2,2,2",1010.2063231335675
2,4,106,1763552954545,1763552954548,3,4,"2,2,2,2",939.267034745244
2,4,107,1763552954609,1763552954615,6,0,"2,2,2,2",930.7546037725712
2,4,108,1763552954671,1763552954676,5,6,"2,2,2,2",1028.3447269627372
2,4,109,1763552954733,1763552954743,10,6,"2,2,2,2",941.2326304719141
