client_id,snapshot_id,seq_num,server_timestamp_ms,recv_time_ms,latency_ms,jitter_ms,grid,bandwidth_per_client_kbps
2,1,20,1763554971139,1763554971141,1,0,"2,0,0,0",7034.1102330699205
2,1,21,1763554971192,1763554971196,4,55,"2,0,0,0",260.94505406691434
2,1,22,1763554971254,1763554971262,8,10,"2,0,0,0",222.2959572498451
2,1,23,1763554971318,1763554971328,10,0,"2,0,0,0",280.50269865658123
2,2,25,1763554971372,1763554971373,1,21,"2,2,0,0",439.1457396009951
2,2,26,1763554971430,1763554971437,7,19,"2,2,0,0",313.6186296215858
2,2,27,1763554971494,1763554971506,12,4,"2,2,0,0",343.0824081857445
2,2,28,1763554971557,1763554971564,6,10,"2,2,0,0",413.93388919923586
2,3,30,1763554971620,1763554971621,0,0,"2,2,2,0",443.2288477699084
2,3,31,1763554971684,1763554971687,2,9,"2,2,2,0",425.4493884922607
2,3,32,1763554971748,1763554971753,5,0,"2,2,2,0",431.034221523226
2,3,33,1763554971812,1763554971819,7,0,"2,2,2,0",436.48371289865725
2,3,34,1763554971876,1763554971885,9,0,"2,2,2,0",442.28434773515687
2,3,35,1763554971939,1763554971941,1,9,"2,2,2,0",556.8849871064982
2,4,37,1763554972001,1763554972004,3,7,"2,2,2,2",514.8462682374451
2,4,38,1763554972064,1763554972075,11,7,"2,2,2,2",462.140484622081
2,4,39,1763554972128,1763554972131,2,14,"2,2,2,2",606.5613261837422
2,4,40,1763554972191,1763554972197,5,9,"2,2,2,2",520.7346662887954
2,4,41,1763554972254,1763554972263,9,0,"2,2,2,2",525.9116908133549
2,4,42,1763554972317,1763554972318,1,11,"2,2,2,2",638.7327263164217
2,4,43,1763554972380,1763554972385,5,12,"2,2,2,2",528.8713910761154
2,4,44,1763554972443,1763554972448,5,4,"2,2,2,2",569.2733471658665
2,4,45,1763554972506,1763554972506,0,4,"2,2,2,2",624.1938932456013
2,4,46,1763554972569,1763554972572,3,8,"2,2,2,2",553.7367539590482
2,4,47,1763554972632,1763554972637,4,1,"2,2,2,2",568.5479215891512
2,4,48,1763554972696,1763554972698,2,3,"2,2,2,2",611.1492469580974
2,4,49,1763554972758,1763554972759,0,0,"2,2,2,2",618.0084026307026
2,4,50,1763554972821,1763554972825,4,5,"2,2,2,2",576.373242584346
2,4,51,1763554972884,1763554972887,2,3,"2,2,2,2",619.4469039750853
2,4,52,1763554972948,1763554972949,0,0,"2,2,2,2",625.4405391150345
2,4,53,1763554973012,1763554973013,0,2,"2,2,2,2",611.6183104247298
2,4,54,1763554973074,1763554973079,4,1,"2,2,2,2",598.6702949714846
2,4,55,1763554973138,1763554973145,7,0,"2,2,2,2",603.6863011044371
2,4,56,1763554973202,1763554973212,10,0,"2,2,2,2",600.6984866123398
2,4,57,1763554973266,1763554973268,1,11,"2,2,2,2",726.1038777622643
2,4,58,1763554973330,1763554973334,3,10,"2,2,2,2",620.9508802763552
2,4,59,1763554973394,1763554973400,5,0,"2,2,2,2",626.574884577912
2,4,60,1763554973458,1763554973466,7,0,"2,2,2,2",632.1279165082054
