client_id,snapshot_id,seq_num,server_timestamp_ms,recv_time_ms,latency_ms,jitter_ms,perceived_position_error,cpu_percent,bandwidth_per_client_kbps
1,1,48,1762292734777,1762292734778,0,0,0.031092190934916678,4.7,46.8302048074394
2,1,45,1762292734777,1762292734778,1,0,0.08362526848122225,0.0,70.49819305443447
3,1,44,1762292734777,1762292734779,1,0,0.051514834258631216,0.0,30.05489007710468
4,1,43,1762292734777,1762292734779,2,0,0.08474330549753895,0.0,177.6805487294202
1,1,49,1762292734828,1762292734829,0,51,0.05912960759965996,0.0,156.9220088516048
2,1,46,1762292734828,1762292734830,1,51,0.0982095925531487,0.0,188.57120256702075
3,1,45,1762292734829,1762292734830,1,51,0.056175807876743235,0.0,35.30911303846304
4,1,44,1762292734829,1762292734831,2,51,0.08876132539317255,0.0,57.14574623460901
1,1,50,1762292734880,1762292734881,0,0,0.06958200497287399,5.0,35.60958859324674
2,1,47,1762292734881,1762292734882,1,0,0.09971872875700996,0.0,101.28784850578815
3,1,46,1762292734881,1762292734883,2,1,0.05654404808310252,0.0,77.41007035092926
4,1,45,1762292734881,1762292734884,2,1,0.04352980006736726,0.0,55.97186507234034
1,1,51,1762292734932,1762292734932,0,0,0.04116596823632023,0.0,199.553047725716
2,1,48,1762292734932,1762292734933,1,1,0.09670215665301214,0.0,76.15901374404694
3,1,47,1762292734932,1762292734934,1,1,0.03554793673056672,0.0,31.805538383696824
4,1,46,1762292734932,1762292734935,2,2,0.049238647790844886,0.0,48.62791788454624
1,1,52,1762292734983,1762292734984,0,0,0.09017011348442691,0.0,33.36950820378255
3,1,48,1762292734984,1762292734985,1,0,0.018989207361002215,0.0,144.96806290838168
4,1,47,1762292734984,1762292734986,1,0,0.008020411998837507,0.0,72.79785488342162
2,1,49,1762292734984,1762292734987,2,2,0.0933474721128504,0.0,121.80380940633127
1,1,53,1762292735035,1762292735036,0,0,0.05812351450638636,7.1,150.2722697243647
2,1,50,1762292735035,1762292735037,1,3,0.0791756751701332,0.0,114.47786728522037
3,1,49,1762292735035,1762292735038,2,1,0.09006963068474017,0.0,148.55461023137536
4,1,48,1762292735035,1762292735039,3,1,0.06238823025842526,0.0,145.95769567858883
1,1,54,1762292735086,1762292735087,0,0,0.08458098108865418,5.1,75.16591506970025
2,1,51,1762292735087,1762292735088,0,0,0.06929935625781612,0.0,77.08940736490409
3,1,50,1762292735087,1762292735089,2,1,0.024573294195559994,0.0,96.73481664242476
4,1,49,1762292735087,1762292735089,2,2,0.09102066711619006,0.0,60.50882317436234
1,1,55,1762292735137,1762292735138,0,0,0.06978651723924688,5.0,85.23065760450223
2,1,52,1762292735137,1762292735139,1,0,0.07851313431688738,0.0,117.78549733252915
3,1,51,1762292735137,1762292735140,2,0,0.013539132496360951,0.0,131.9190169940735
4,1,50,1762292735137,1762292735141,3,0,0.02951838488791816,0.0,197.69497838319913
1,1,56,1762292735189,1762292735189,0,0,0.09350267806833841,0.0,148.5789063582678
3,1,52,1762292735189,1762292735190,1,0,0.09292715225849653,0.0,130.18572732829392
2,1,53,1762292735189,1762292735191,1,0,0.0017105823195990523,0.0,58.62672778740203
4,1,51,1762292735189,1762292735191,2,0,0.03455462151471075,0.0,172.6984651641107
1,3,59,1762292735240,1762292735241,0,0,0.0784563430321934,0.0,119.95352712620746
2,3,56,1762292735240,1762292735241,1,1,0.008046167832642793,0.0,193.3980668513966
3,3,55,1762292735240,1762292735242,1,1,0.06179171197096859,0.0,140.4358952968274
4,3,54,1762292735240,1762292735242,1,0,0.08152512945863595,0.0,125.65577883539122
1,3,60,1762292735291,1762292735292,0,0,0.04412074810159429,2.5,51.70969180361601
2,3,57,1762292735292,1762292735293,1,0,0.09765268484333525,0.0,32.81704036568951
3,3,56,1762292735292,1762292735293,1,0,0.09322732947168588,0.0,125.110139064279
4,3,55,1762292735292,1762292735294,2,0,0.061347965095431736,0.0,170.61348723671074
2,3,58,1762292735343,1762292735343,0,1,0.017480975139849596,0.0,77.93388431286395
1,3,61,1762292735342,1762292735344,1,0,0.09771286623740631,0.0,84.34172266234548
3,3,57,1762292735343,1762292735344,1,0,0.02231524800431859,0.0,100.76782755720431
4,3,56,1762292735343,1762292735345,2,0,0.07280004480525205,0.0,137.56768082371872
2,3,59,1762292735394,1762292735394,0,1,0.024070579519688474,2.5,101.22006219908404
1,3,62,1762292735394,1762292735395,1,0,0.05913323312414648,0.0,138.79670339007998
3,3,58,1762292735394,1762292735395,1,0,0.07049027244494938,0.0,170.98918953756586
4,3,57,1762292735394,1762292735396,1,0,0.00870464489153624,0.0,143.12450483525296
1,3,63,1762292735445,1762292735445,0,1,0.06258129450670737,0.0,31.53819463011823
2,3,60,1762292735445,1762292735446,1,0,0.06916236499521036,0.0,166.7286717551592
3,3,59,1762292735445,1762292735446,1,0,0.032636765581444016,0.0,129.07085651927474
4,3,58,1762292735445,1762292735447,2,0,0.0343820680422778,0.0,132.4527244442568
2,3,61,1762292735496,1762292735496,0,1,0.011431559878008014,2.5,21.257162135401707
1,3,64,1762292735495,1762292735497,1,1,0.057003141137039165,0.0,96.07948609232282
3,3,60,1762292735496,1762292735497,1,0,0.07653781114070438,0.0,123.69922738434688
4,3,59,1762292735496,1762292735497,1,0,0.05654113562884855,0.0,128.90371860505178
1,3,65,1762292735546,1762292735547,0,1,0.019385759227071798,0.0,104.9543563900721
2,3,62,1762292735546,1762292735547,0,1,0.008356818510368513,0.0,145.31394039487355
3,3,61,1762292735546,1762292735548,1,0,0.050553303513723315,100.0,146.6050229180595
4,3,60,1762292735546,1762292735548,1,0,0.09430475545180281,0.0,45.92345626139149
2,3,63,1762292735598,1762292735598,0,0,0.07050732824006589,0.0,56.60371829266827
1,3,66,1762292735597,1762292735599,1,2,0.02693527710147622,0.0,23.015092488262436
3,3,62,1762292735598,1762292735599,1,0,0.07753024483558152,0.0,80.5457429579792
4,3,61,1762292735598,1762292735599,1,0,0.002530916923538751,0.0,108.48332726849432
1,3,67,1762292735649,1762292735649,0,1,0.05139962432766773,2.5,83.1096943656539
2,3,64,1762292735649,1762292735650,1,1,0.03472025812655399,0.0,39.12043860555504
3,3,63,1762292735649,1762292735651,1,0,0.038364585052822864,0.0,198.04284141136455
4,3,62,1762292735649,1762292735651,2,0,0.05819268440535561,0.0,141.12825605640833
1,3,68,1762292735700,1762292735700,0,0,0.09155575582262886,2.6,95.11958718515756
3,3,64,1762292735700,1762292735701,0,1,0.06337420619155812,0.0,174.84437751269274
2,3,65,1762292735700,1762292735701,1,1,0.05731654908115335,0.0,163.88623418972182
4,3,63,1762292735700,1762292735702,1,1,0.04719060657870633,0.0,171.30075834207048
1,3,69,1762292735751,1762292735753,1,1,0.0171215225493653,2.4,54.81617541475941
2,3,66,1762292735752,1762292735758,5,5,0.047009944683563544,0.0,99.13743757515373
3,3,65,1762292735752,1762292735766,13,15,0.09279174553074691,0.0,84.37305415822132
4,3,64,1762292735752,1762292735767,14,14,0.0232758712699644,0.0,194.23693328717295
1,3,70,1762292735805,1762292735807,1,1,0.07367425846112362,0.0,48.79979708898006
2,3,67,1762292735806,1762292735809,3,5,0.07025905569797991,0.0,51.265614495081664
3,3,66,1762292735806,1762292735810,4,20,0.024988148201431727,0.0,68.05777765047017
4,3,65,1762292735806,1762292735811,5,20,0.02988351560188267,0.0,40.98057475046957
1,4,72,1762292735857,1762292735858,0,2,0.08562341092183706,0.0,156.31431523093713
3,4,68,1762292735858,1762292735863,5,8,0.0711900866837501,0.0,108.56916598471585
2,4,69,1762292735858,1762292735864,6,4,0.011632399714389507,0.0,43.21299830893914
4,4,67,1762292735858,1762292735866,7,10,0.008701447383056915,0.0,132.27675854866803
1,4,73,1762292735909,1762292735910,0,0,0.04828577292797295,2.9,30.528989948177518
2,4,70,1762292735909,1762292735912,2,7,0.0887434977867376,0.0,98.10658088381696
3,4,69,1762292735910,1762292735913,3,3,0.04793719328747077,0.0,61.92032885614342
4,4,68,1762292735910,1762292735913,3,6,0.021367840224237968,0.0,92.74400748189493
1,4,74,1762292735960,1762292735961,0,1,0.020600147856735695,0.0,106.47809600325401
3,4,70,1762292735960,1762292735961,0,0,0.08056346889009919,0.0,108.59171054119217
2,4,71,1762292735960,1762292735962,1,2,0.06622114547121125,0.0,196.64725584888978
4,4,69,1762292735960,1762292735962,2,1,0.00542188300801405,0.0,108.17329203949748
1,4,75,1762292736011,1762292736012,0,0,0.0584063014795314,2.4,177.1097218180211
2,4,72,1762292736012,1762292736013,1,1,0.0079791435839483,0.0,61.22487359598066
3,4,71,1762292736012,1762292736015,2,4,0.08321584441695234,0.0,158.76334577618348
4,4,70,1762292736012,1762292736016,3,4,0.08155492701880873,0.0,81.32852324216134
1,4,76,1762292736063,1762292736064,0,0,0.09439006214863359,2.5,150.1385975220686
2,4,73,1762292736064,1762292736066,1,0,0.014310812562422559,0.0,114.56630781710415
3,4,72,1762292736064,1762292736067,2,1,0.006359291653804034,0.0,198.84133580998008
4,4,71,1762292736064,1762292736068,3,1,0.008250393013449975,0.0,70.81332970320896
1,4,77,1762292736115,1762292736116,0,0,0.08488152125881743,5.0,194.92631357724463
2,4,74,1762292736115,1762292736117,1,0,0.0496679475262014,0.0,144.04731589005948
3,4,73,1762292736115,1762292736118,3,0,0.019024888745744983,0.0,96.72291919874259
4,4,72,1762292736115,1762292736119,4,0,0.03976412865070481,0.0,157.63855959763447
1,4,78,1762292736167,1762292736168,0,0,0.009731992377519462,7.5,170.99809710320417
2,4,75,1762292736167,1762292736169,2,0,0.05508627161964039,0.0,186.85655750841383
3,4,74,1762292736167,1762292736170,2,0,0.09004728809480411,0.0,39.85928534198071
4,4,73,1762292736167,1762292736171,3,0,0.07152464402236507,0.0,69.9367838794343
1,4,79,1762292736220,1762292736221,0,1,0.0010974162458347702,0.0,147.52938433620488
2,4,76,1762292736220,1762292736221,1,0,0.030337732331275593,0.0,55.570206501344934
3,4,75,1762292736220,1762292736222,1,0,0.005831093868328707,0.0,169.0949745217278
4,4,74,1762292736220,1762292736222,2,0,0.0735901398209955,0.0,136.6455892869473
1,4,80,1762292736272,1762292736273,1,0,0.0855429510247195,0.0,160.637457089784
2,4,77,1762292736272,1762292736274,2,0,0.09726344646117917,0.0,130.21778786472765
3,4,76,1762292736272,1762292736275,2,1,0.09686840245865712,0.0,191.34662207368396
4,4,75,1762292736272,1762292736276,3,2,0.06463476964581197,0.0,104.87601949654709
1,4,81,1762292736324,1762292736324,0,0,0.06770995680958833,2.6,103.2839589691296
2,4,78,1762292736324,1762292736326,1,1,0.04518561459212883,0.0,79.982850954801
3,4,77,1762292736324,1762292736327,2,1,0.014175770398130994,0.0,167.37832245630818
4,4,76,1762292736324,1762292736328,3,1,0.032891130108265734,0.0,66.29737934083661
1,4,82,1762292736375,1762292736377,1,0,0.06452021672259602,0.0,158.91199858424866
2,4,79,1762292736376,1762292736378,2,0,0.08826782222831393,0.0,45.19410821764083
3,4,78,1762292736376,1762292736379,3,0,0.09799108162212779,0.0,59.06404862213742
4,4,77,1762292736376,1762292736380,4,0,0.008405152722759258,0.0,65.56927870224061
1,4,83,1762292736427,1762292736428,0,1,0.048708420866414984,10.0,98.43660692839191
2,4,80,1762292736427,1762292736428,1,2,0.07088611005468055,0.0,134.26805226302363
3,4,79,1762292736427,1762292736429,1,2,0.006167108444938696,0.0,175.5921476211178
4,4,78,1762292736427,1762292736430,2,3,0.017155062560873735,0.0,20.470032966324993
1,4,84,1762292736478,1762292736479,0,0,0.03299238146978909,0.0,46.95277711214664
3,4,80,1762292736479,1762292736480,1,0,0.046415875848125225,100.0,105.40949531348723
4,4,79,1762292736479,1762292736480,1,1,0.047106513617659655,0.0,58.3606382450684
2,4,81,1762292736479,1762292736481,2,2,0.07536940605940605,0.0,84.66928933256736
1,4,85,1762292736530,1762292736530,0,0,0.0689291670831476,0.0,32.027525740335605
2,4,82,1762292736530,1762292736531,0,2,0.047007710529454516,0.0,82.20114674664507
3,4,81,1762292736530,1762292736531,1,0,0.005868552496277946,0.0,122.8948220181322
4,4,80,1762292736530,1762292736531,1,0,0.042964434052209045,0.0,74.90776006140399
1,4,86,1762292736581,1762292736582,0,0,0.09057095598475856,0.0,157.90241035680998
3,4,82,1762292736581,1762292736582,0,0,0.058521697616946006,0.0,146.57842978496194
4,4,81,1762292736581,1762292736583,1,0,0.03302297706255002,0.0,67.20079219192806
2,4,83,1762292736581,1762292736584,2,3,0.03303539691244461,0.0,133.47415184437625
1,4,87,1762292736632,1762292736633,0,0,0.07290010471520514,0.0,150.12621384660648
2,4,84,1762292736632,1762292736633,0,3,0.03259595468604404,0.0,30.464311419364464
4,4,82,1762292736632,1762292736634,1,1,0.09025341026999946,0.0,84.09627336409092
3,4,83,1762292736632,1762292736634,1,0,0.09183222872164348,0.0,169.6240422808963
1,4,88,1762292736684,1762292736684,0,0,0.038407737081835404,0.0,101.45253942419724
2,4,85,1762292736684,1762292736685,0,2,0.07888246735441212,0.0,53.31713680730273
3,4,84,1762292736684,1762292736686,1,0,0.008592728462894328,0.0,159.16925801354
4,4,83,1762292736684,1762292736686,1,1,0.0872973570184214,0.0,119.04844036638734
1,4,89,1762292736735,1762292736735,0,0,0.05665710972771935,0.0,69.79181481146773
2,4,86,1762292736735,1762292736736,0,1,0.06136359123695581,0.0,123.3396476064586
3,4,85,1762292736735,1762292736736,1,0,0.0877291630827845,0.0,50.87936193792433
4,4,84,1762292736735,1762292736737,2,1,0.05030971063006715,0.0,99.93923556603995
1,4,90,1762292736786,1762292736786,0,0,0.056990039334619894,0.0,175.52037640039345
2,4,87,1762292736786,1762292736787,0,0,0.030243916951027273,0.0,86.84461508988439
3,4,86,1762292736786,1762292736787,1,0,0.07373911702651309,0.0,64.0539176938158
4,4,85,1762292736786,1762292736788,1,0,0.04115319581910655,0.0,116.18775955787564
1,4,91,1762292736837,1762292736838,0,0,0.018003341079221625,0.0,155.31672596405625
2,4,88,1762292736837,1762292736838,0,0,0.07612775789302134,0.0,192.20979692016263
3,4,87,1762292736837,1762292736839,1,0,0.0980827689113683,0.0,120.14194223326274
4,4,86,1762292736837,1762292736839,1,0,0.046706750314464134,0.0,156.89128043331237
1,4,92,1762292736889,1762292736891,1,1,0.03763154443854508,0.0,57.96093081954928
2,4,89,1762292736890,1762292736894,4,4,0.06689439815126363,33.3,81.80763605651984
3,4,88,1762292736890,1762292736895,5,4,0.03239136007931074,0.0,158.11670695694482
4,4,87,1762292736890,1762292736897,6,6,0.06955619668157041,0.0,82.5519084790188
1,4,93,1762292736941,1762292736941,0,2,0.0004301481476219116,2.8,28.069436278683142
2,4,90,1762292736941,1762292736942,1,7,0.09777192825157056,0.0,107.2123177318315
3,4,89,1762292736941,1762292736943,1,8,0.06546560582381593,0.0,139.27932579850724
4,4,88,1762292736941,1762292736945,3,9,0.00035057221633408856,0.0,24.092150178280242
1,4,94,1762292736992,1762292736993,0,0,0.081053351465873,0.0,41.59752768645083
2,4,91,1762292736992,1762292736993,1,2,0.0019406613010183205,0.0,33.42485511403426
3,4,90,1762292736992,1762292736994,1,2,0.014881714974327899,0.0,137.12434724243042
4,4,89,1762292736992,1762292736994,1,0,0.09339457671604347,0.0,26.50368536108956
1,4,95,1762292737044,1762292737044,0,0,0.016596303464105667,2.4,129.59913517670597
3,4,91,1762292737044,1762292737046,1,1,0.06544239398920408,0.0,70.38947684260998
2,4,92,1762292737044,1762292737047,2,2,0.08545075744997183,0.0,80.08947663499433
4,4,90,1762292737044,1762292737049,4,5,0.09414450101855917,0.0,63.57230497517023
1,4,96,1762292737096,1762292737097,1,0,0.001133874485028319,0.0,33.175273504686956
2,4,93,1762292737096,1762292737098,1,2,0.009939531354751941,0.0,66.97889741554496
3,4,92,1762292737096,1762292737099,2,0,0.03362754231735417,0.0,35.41714983535067
4,4,91,1762292737097,1762292737099,2,4,0.008410043612298468,0.0,46.200791188207546
1,4,97,1762292737148,1762292737148,0,1,0.08728143408779145,2.5,118.98133338464879
2,4,94,1762292737148,1762292737149,0,0,0.02162084923825626,0.0,169.7049356792311
3,4,93,1762292737148,1762292737149,1,1,0.01141792476610335,0.0,157.59747352662671
4,4,92,1762292737148,1762292737150,1,0,0.022147246012724976,0.0,105.80058626115452
1,4,98,1762292737199,1762292737200,0,0,0.03408320179015154,2.5,145.00241321677424
